Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.005,8.99e-06,,straight,single,Brown2011,,,
PCL,80025.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000743,5.56e-12,Al,0.04,6000.0,,3.3e-05,,coil,randomly distributed,Brown2014,,,
PCL,80021.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000739,5.56e-12,Al,0.03,6000.0,,2.9100000000000003e-05,,coil,randomly distributed,Brown2014,,,
PCL,80017.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000735,5.56e-12,Al,0.02,6000.0,,2.6600000000000003e-05,,coil,randomly distributed,Brown2014,,,
PCL,80026.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0007440000000000001,5.56e-12,Al,0.04,8000.0,,2.3100000000000002e-05,,coil,randomly distributed,Brown2014,,,
PCL,80018.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000736,5.56e-12,Al,0.02,8000.0,,2.24e-05,,coil,randomly distributed,Brown2014,,,
PCL,80029.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0007469999999999999,5.56e-12,Al,0.06,8000.0,,2.2e-05,,coil,randomly distributed,Brown2014,,,
PCL,80019.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000737,5.56e-12,Al,0.02,10000.0,,2.1e-05,,coil,randomly distributed,Brown2014,,,
PCL,80022.0,CF/DMF,0.7474335,,,1142.62,melt,,0.00074,5.56e-12,Al,0.03,8000.0,,2.0399999999999998e-05,,coil,randomly distributed,Brown2014,,,
PCL,80027.0,CF/DMF,0.7474335,,,1142.62,melt,,0.000745,5.56e-12,Al,0.04,10000.0,,1.99e-05,,coil,randomly distributed,Brown2014,,,
